"","star_results.CbriggsaeAligned.sortedByCoord.out.bam","star_results.Cbriggsae_rep2Aligned.sortedByCoord.out.bam","star_results.Cbriggsae_rep3Aligned.sortedByCoord.out.bam","star_results.Cnigoni_rep1Aligned.sortedByCoord.out.bam","star_results.Cnigoni_rep2Aligned.sortedByCoord.out.bam","star_results.Cnigoni_rep3Aligned.sortedByCoord.out.bam","star_results.hybrid2_rep1Aligned.sortedByCoord.out.bam","star_results.hybrid2_rep2Aligned.sortedByCoord.out.bam","star_results.hybrid2_rep3Aligned.sortedByCoord.out.bam","star_results.hybrid_rep1Aligned.sortedByCoord.out.bam","star_results.hybrid_rep2Aligned.sortedByCoord.out.bam","star_results.hybrid_rep3Aligned.sortedByCoord.out.bam"
"WBGene00037057__Cni-W02H3.3",12,0,0,0,0,0,16,6,0,0,0,0
"WBGene00037058__Cnig_chr_X.g23281",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00088959__Cnig_chr_X.g23283",38,32,40,0,0,0,6,0,8,0,0,0
"WBGene00037061__Cnig_chr_X.g23284",4,0,20,10,0,0,4,28,0,0,0,0
"WBGene00037061__Cni-W04G3.7",4,0,20,10,0,0,4,28,0,0,0,0
"WBGene00037061__Cni-sulp-7",4,0,20,10,0,0,4,28,0,0,0,0
"WBGene00271337__Cnig_chr_X.g23289",12,10,0,0,0,0,0,86,12,0,0,0
"WBGene00037110__Cni-apt-9",42,52,30,4,18,4,66,22,54,8,76,0
"WBGene00037111__Cni-lpr-4",2,0,0,0,0,0,16,12,0,2,98,18
"WBGene00037112__Cni-lpr-5",0,0,0,0,0,0,26,10,12,0,50,0
"WBGene00037113__Cni-lpr-6",0,0,0,0,0,0,20,0,20,0,0,0
"WBGene00037114__Cni-lpr-3",0,2,0,0,0,6,10,0,12,0,40,0
"WBGene00037115__Cni-C09F12.2",64,58,56,76,80,20,110,144,122,104,52,58
"WBGene00037117__Cni-C09F12.3",0,12,0,2,0,12,0,0,0,0,0,0
"WBGene00037118__Cni-ldb-1",190,94,96,66,80,46,175,106,108,220,64,58
"WBGene00037120__Cni-F58A3.3",74,44,20,4,0,0,92,48,54,28,0,0
"WBGene00037121__Cni-F58A3.4",12,26,28,10,8,8,16,16,32,50,76,22
"WBGene00037122__Cni-ttr-31",158,190,142,24,72,18,152,60,117,126,60,120
"WBGene00037123__Cni-del-5",32,50,44,32,14,12,100,138,84,4,0,24
"WBGene00037126__Cnig_chr_X.g23319",10,2,0,0,0,0,0,0,0,0,0,0
"WBGene00037131__Cni-col-177",2,6,0,4,0,0,20,0,40,0,0,0
"WBGene00037132__Cni-F59F3.6",14,32,8,0,8,6,0,32,4,0,66,0
"WBGene00037134__Cnig_chr_X.g23327",0,0,6,0,0,0,8,14,4,6,2,0
"WBGene00037135__Cnig_chr_X.g23328",152,80,82,44,36,20,156,283,178,32,12,46
"WBGene00037136__Cni-pxn-2",150,170,68,32,28,36,152,156,150,48,26,32
"WBGene00037137__Cni-K09C8.8",0,0,0,0,8,0,12,6,0,0,0,0
"WBGene00037138__Cni-lge-1",64,42,52,0,14,30,22,26,28,14,2,0
"WBGene00037138__Cnig_chr_X.g23404",64,42,52,0,14,30,22,26,28,14,2,0
"WBGene00037140__Cni-nas-10",4,0,0,0,0,0,4,0,0,0,50,0
"WBGene00037141__Cni-K09C8.2",278,396,238,32,90,32,18,12,14,22,102,22
"WBGene00037143__Cni-pbo-4",162,156,150,12,26,22,116,104,100,78,104,0
"WBGene00037144__Cni-K09C8.7",0,0,8,0,0,0,0,0,0,2,0,0
"WBGene00037145__Cni-T21B6.3",624,456,498,140,112,122,444,684,332,921,1348,608
"WBGene00037146__Cni-pho-7",116,144,68,88,72,10,126,60,72,68,52,16
"WBGene00037147__Cni-dgn-1",94,114,94,4,18,0,160,250,214,74,164,42
"WBGene00037148__Cni-nstp-9",78,38,10,8,0,10,38,2,6,0,0,0
"WBGene00037149__Cnig_chr_X.g23346",106,80,34,68,40,122,62,88,67,60,0,50
"WBGene00037152__Cni-acbp-3",52,42,0,84,72,82,24,80,36,76,0,16
"WBGene00037154__Cni-haly-1",979,1234,958,248,188,181,834,728,689,344,444,282
"WBGene00037155__Cni-F47B10.3",30,0,0,0,0,0,22,2,0,0,0,0
"WBGene00037156__Cni-F47B10.5",28,38,8,8,14,16,34,24,38,5,0,26
"WBGene00037157__Cni-F47B10.6",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00037159__Cni-T21E8.7",4,12,22,0,0,0,0,0,0,0,34,0
"WBGene00037160__Cni-T21E8.6",12,0,6,0,0,0,0,0,0,0,0,0
"WBGene00088976__Cnig_chr_X.g23365",0,2,0,0,0,22,0,30,8,0,0,0
"WBGene00037161__Cnig_chr_X.g23366",48,58,26,112,115,120,245,327,252,68,148,8
"WBGene00037162__Cnig_chr_X.g23367",56,60,16,8,0,0,62,28,68,0,0,0
"WBGene00037165__Cnig_chr_X.g23374",22,124,84,0,0,6,218,94,112,2,0,6
"WBGene00271499__Cnig_chr_X.g23375",16,26,4,4,0,0,6,12,0,0,0,0
"WBGene00037166__Cni-C05A9.2",26,16,0,28,8,10,54,36,56,52,52,34
"WBGene00037171__Cni-frm-9",458,240,252,128,72,64,396,291,298,298,506,182
"WBGene00037171__Cnig_chr_X.g23381",458,240,252,128,72,64,396,291,298,298,506,182
"WBGene00037171__Cnig_chr_X.g23383",458,240,252,128,72,64,396,291,298,298,506,182
"WBGene00037173__Cni-T05A10.6",6,10,12,6,14,34,14,26,22,18,0,0
"WBGene00037175__Cni-vap-2",158,206,112,20,10,14,68,54,72,22,0,18
"WBGene00037176__Cni-ttr-14",8,0,0,0,0,0,0,0,2,0,0,0
"WBGene00037177__Cni-clc-4",735,928,770,104,156,134,20,36,18,18,0,86
"WBGene00037178__Cni-sma-9",1192,827,951,90,116,91,1199,1186,960,782,1482,724
"WBGene00037179__Cnig_chr_X.g23389",0,0,0,0,0,0,8,8,0,0,0,0
"WBGene00088982__Cnig_chr_X.g23393",4,20,0,0,0,0,82,50,48,0,0,4
"WBGene00037180__Cnig_chr_X.g23400",16,16,0,0,0,0,0,14,0,0,0,0
"WBGene00037181__Cnig_chr_X.g23332",0,12,0,0,0,0,8,0,6,6,0,0
"WBGene00037182__Cni-R07A4.2",54,58,24,6,0,0,86,110,94,12,0,0
"WBGene00040917__Cnig_chr_X.g23411",72,72,28,0,0,0,60,70,41,2,0,0
"WBGene00040918__Cnig_chr_X.g23408",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00040919__Cnig_chr_X.g23407",22,0,0,6,0,0,48,56,64,22,0,2
"WBGene00027180__Cnig_chr_X.g23434",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00027177__Cnig_chr_X.g23436",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00027175__Cni-mbr-1",6,0,2,0,0,0,8,2,20,12,0,12
"WBGene00027171__Cni-rhgf-1",110,32,102,12,28,32,98,194,172,134,262,52
"WBGene00027170__Cnig_chr_X.g23447",117,110,264,18,8,12,218,110,298,30,0,12
"WBGene00027169__Cnig_chr_X.g23448",404,434,366,90,112,132,1425,1711,1234,706,1202,492
"WBGene00027168__Cni-F13E6.1",370,794,442,216,188,102,1718,1662,1444,433,846,236
"WBGene00027167__Cni-F13E6.2",8,14,20,16,10,0,76,78,68,14,0,42
"WBGene00027166__Cni-daf-12",218,150,154,94,50,26,339,599,282,246,415,96
"WBGene00027166__Cnig_chr_X.g23454",218,150,154,94,50,26,339,599,282,246,415,96
"WBGene00027166__Cnig_chr_X.g23455",218,150,154,94,50,26,339,599,282,246,415,96
"WBGene00027163__Cnig_chr_X.g23457",258,220,270,24,36,22,184,362,210,134,160,64
"WBGene00027162__Cni-flp-19",186,94,158,40,26,12,94,146,118,157,204,174
"WBGene00027161__Cni-sdn-1",338,376,276,242,266,161,280,236,194,476,632,320
"WBGene00027159__Cni-F57C7.4",32,44,44,0,0,0,50,62,38,0,0,14
"WBGene00027158__Cni-nhx-5",230,405,276,60,54,94,180,342,142,290,368,100
"WBGene00088993__Cnig_chr_X.g23466",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00027157__Cnig_chr_X.g23468",244,224,382,58,40,14,196,488,288,260,132,238
"WBGene00270774__Cnig_chr_X.g23469",0,6,6,0,0,0,0,54,8,10,0,0
"WBGene00027155__Cni-syd-2",44,40,56,10,48,36,44,74,58,134,106,56
"WBGene00027154__Cni-F59F5.5",14,12,26,0,12,6,44,32,22,16,0,0
"WBGene00303311__Cni-F59F5.4",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00027153__Cnig_chr_X.g23474",472,370,236,186,152,124,478,1100,572,582,924,306
"WBGene00027152__Cni-F59F5.3",82,48,100,8,8,0,68,194,36,0,0,0
"WBGene00027151__Cni-glo-3",124,104,82,22,6,30,108,54,14,54,0,10
"WBGene00027150__Cni-slcf-1",68,70,10,8,16,22,76,106,128,54,128,8
"WBGene00027149__Cni-git-1",106,30,79,18,40,0,52,142,112,46,0,16
"WBGene00027148__Cni-mboa-7",92,32,20,0,0,0,26,130,42,16,54,28
"WBGene00027147__Cni-F14F3.4",0,6,0,0,0,0,0,8,0,0,0,0
"WBGene00027146__Cni-vab-3",90,68,98,30,48,16,92,82,63,78,2,144
"WBGene00270763__Cnig_chr_X.g23500",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00036945__Cni-elt-2",134,76,84,31,22,2,74,24,24,36,164,12
"WBGene00088997__Cni-C39B10.7",10,12,0,0,0,0,8,10,6,0,0,0
"WBGene00036944__Cni-C39B10.1",24,10,0,22,30,8,10,4,0,26,20,18
"WBGene00036943__Cni-lgc-41",4,6,18,8,22,0,26,30,0,2,0,28
"WBGene00089000__Cnig_chr_X.g23562",28,20,24,0,0,0,18,12,26,0,0,0
"WBGene00089003__Cnig_chr_X.g23566",152,54,166,0,0,0,49,70,65,6,0,0
"WBGene00036937__Cnig_chr_X.g23567",30,16,36,0,0,0,0,0,0,0,0,0
"WBGene00036935__Cni-mig-15",356,280,298,79,74,4,376,419,322,170,432,182
"WBGene00036931__Cni-acr-8",18,32,4,6,0,4,12,12,0,64,0,0
"WBGene00036930__Cni-ZC504.1",0,2,0,0,0,0,0,0,0,0,0,0
"WBGene00036929__Cni-gur-3",0,0,2,0,0,0,10,2,2,0,0,0
"WBGene00036928__Cni-pkn-1",199,199,128,50,68,62,177,249,214,76,186,130
"WBGene00036927__Cnig_chr_X.g23586",0,14,6,0,0,0,20,26,0,28,0,0
"WBGene00036926__Cni-rme-4",186,260,170,38,46,32,160,206,144,210,390,204
"WBGene00036922__Cni-Y49A10A.1",0,0,0,0,8,0,2,0,8,0,0,0
"WBGene00036921__Cni-R07E3.7",40,66,26,0,10,8,12,14,10,38,48,34
"WBGene00036920__Cni-R07E3.1",922,1372,1254,1113,1114,1216,1018,2157,1144,1316,1536,708
"WBGene00089008__Cnig_chr_X.g23596",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00089010__Cnig_chr_X.g23600",20,10,48,0,0,0,0,0,0,0,0,16
"WBGene00036918__Cnig_chr_X.g23601",0,0,0,4,0,16,0,0,12,0,0,0
"WBGene00036918__Cni-R07E3.2",0,0,0,4,0,16,0,0,12,0,0,0
"WBGene00036918__Cni-R07E3.4",0,0,0,4,0,16,0,0,12,0,0,0
"WBGene00036916__Cni-acl-5",202,186,74,48,20,72,90,98,106,46,116,80
"WBGene00036915__Cni-R07E3.6",8,0,12,0,0,0,0,10,0,0,0,0
"WBGene00036914__Cni-F41E7.9",14,0,14,0,0,0,2,0,0,0,0,0
"WBGene00036913__Cni-F41E7.7",86,68,98,44,12,30,90,94,36,116,38,70
"WBGene00036912__Cni-F41E7.6",0,0,0,0,0,0,18,0,0,0,0,0
"WBGene00036911__Cni-cnc-8",122,185,86,0,31,22,42,38,74,34,74,22
"WBGene00089011__Cnig_chr_X.g23614",80,96,36,116,160,172,428,86,152,238,398,266
"WBGene00036909__Cni-npr-6",174,42,210,8,4,2,62,88,24,6,0,18
"WBGene00036907__Cnig_chr_X.g23616",60,52,56,20,4,4,64,78,32,44,180,0
"WBGene00036906__Cni-C32A9.1",0,0,4,0,0,22,4,18,6,0,0,0
"WBGene00036905__Cni-C14H10.2",120,110,164,54,32,18,112,242,146,218,196,130
"WBGene00036904__Cni-C14H10.1",326,460,220,114,148,141,214,246,180,228,201,128
"WBGene00036902__Cnig_chr_X.g22297",249,548,356,60,32,40,170,255,128,78,212,24
"WBGene00036900__Cni-F44A6.5",120,190,100,36,32,84,50,104,114,48,134,12
"WBGene00036899__Cnig_chr_X.g23624",54,14,18,0,0,0,0,4,6,0,0,0
"WBGene00089014__Cnig_chr_X.g23625",0,0,12,0,0,0,0,0,0,0,0,0
"WBGene00036898__Cnig_chr_X.g23627",10,74,22,0,4,0,18,58,4,0,0,0
"WBGene00036896__Cnig_chr_X.g23630",126,102,84,46,32,66,12,6,24,24,104,4
"WBGene00036895__Cni-F44A6.3",0,26,0,0,0,0,0,0,0,0,0,0
"WBGene00036894__Cni-sex-1",0,0,0,2,0,6,30,8,18,0,0,10
"WBGene00036893__Cni-nucb-1",474,494,488,72,130,78,210,292,206,216,350,150
"WBGene00036891__Cni-arrd-28",442,276,430,54,60,46,376,376,352,418,519,296
"WBGene00036891__Cni-myrf-2",442,276,430,54,60,46,376,376,352,418,519,296
"WBGene00036890__Cni-ncs-4",76,86,12,26,64,10,102,86,46,90,104,64
"WBGene00036889__Cni-C07A4.3",112,90,146,8,6,44,0,14,0,18,46,0
"WBGene00036888__Cni-C07A4.2",94,120,164,0,0,0,18,66,20,0,0,0
"WBGene00036887__Cni-tiar-3",76,45,8,2,0,22,6,18,2,34,10,32
"WBGene00036886__Cni-F09B9.4",1036,820,935,146,148,114,832,1366,957,549,1121,419
"WBGene00036885__Cnig_chr_X.g23644",344,374,314,158,216,124,152,198,141,224,265,198
"WBGene00036885__Cni-F09B9.5",344,374,314,158,216,124,152,198,141,224,265,198
"WBGene00036883__Cni-unc-115",658,706,564,212,150,86,392,586,490,648,882,308
"WBGene00036882__Cnig_chr_X.g23647",122,60,232,12,14,8,106,230,156,30,0,34
"WBGene00034675__Cnig_chr_X.g23685",0,0,0,18,0,0,0,0,0,0,16,0
"WBGene00034680__Cnig_chr_X.g23720",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00034684__Cnig_chr_X.g23728",4,0,2,2,0,0,26,8,28,8,0,0
"WBGene00034685__Cnig_chr_X.g23727",0,0,0,0,0,0,0,0,0,8,0,0
"WBGene00034686__Cni-AH9.1",32,4,0,16,0,0,10,22,14,30,0,0
"WBGene00034687__Cnig_chr_X.g23731",1334,1754,1376,2448,3841,3106,2067,2563,1864,2937,2381,1910
"WBGene00034688__Cnig_chr_X.g23732",404,716,382,473,544,472,954,799,686,719,1186,488
"WBGene00034689__Cnig_chr_X.g23733",470,470,400,320,352,222,570,434,392,378,543,392
"WBGene00089030__Cnig_chr_X.g23734",92,36,132,10,10,14,48,158,118,18,0,18
"WBGene00034690__Cni-lin-32",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00034691__Cni-hex-1",230,322,406,70,100,128,84,40,118,62,142,102
"WBGene00034692__Cni-peb-1",34,10,72,0,0,18,16,126,48,22,78,42
"WBGene00034693__Cni-T24C12.4",0,0,0,0,0,0,0,4,18,0,0,0
"WBGene00034694__Cni-T24C12.1",53,66,40,12,36,32,14,90,8,84,46,48
"WBGene00034696__Cni-gap-1",178,98,300,88,66,42,236,364,160,174,426,60
"WBGene00034698__Cni-F48B9.8",70,72,85,20,26,4,44,208,44,64,26,14
"WBGene00089031__Cnig_chr_X.g23744",496,617,506,12,80,76,68,78,40,46,34,28
"WBGene00034699__Cni-nlp-37",264,309,258,48,126,72,136,225,160,332,290,98
"WBGene00034700__Cni-npax-2",0,0,0,6,0,0,0,0,0,0,0,0
"WBGene00034701__Cni-dpy-3",0,10,10,0,0,0,12,4,10,0,0,0
"WBGene00034702__Cni-F53B1.8",154,188,196,62,102,34,176,350,166,148,328,122
"WBGene00034703__Cni-gpa-5",0,6,0,0,0,0,0,0,6,8,0,0
"WBGene00034705__Cni-swip-10",0,0,0,0,0,0,14,32,6,0,0,0
"WBGene00034706__Cni-F53B1.4",0,8,24,0,4,0,12,24,52,0,38,6
"WBGene00034707__Cni-F53B1.2",34,30,25,36,56,0,28,66,14,38,82,47
"WBGene00034708__Cni-F53B1.3",2,38,0,2,0,0,2,30,14,50,0,0
"WBGene00089032__Cni-T21D9.2",0,18,0,0,0,0,0,0,0,0,0,0
"WBGene00034709__Cni-col-164",0,6,4,2,0,0,12,50,58,0,20,26
"WBGene00034710__Cnig_chr_X.g23759",62,148,58,28,32,4,76,48,140,98,242,30
"WBGene00089033__Cnig_chr_X.g23760",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00034712__Cni-F49H12.3",0,4,12,0,16,0,0,12,16,0,0,10
"WBGene00034713__Cni-F49H12.4",16,20,24,30,4,0,38,6,18,66,0,0
"WBGene00034714__Cni-F49H12.5",78,234,82,90,148,150,168,126,136,124,228,80
"WBGene00034715__Cni-acl-4",144,114,90,154,96,84,166,290,172,230,352,158
"WBGene00089035__Cnig_chr_X.g23776",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00089036__Cnig_chr_X.g23778",94,38,46,0,0,0,0,22,0,0,0,0
"WBGene00089038__Cnig_chr_X.g23781",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00089040__Cnig_chr_X.g23784",0,0,0,0,0,0,0,0,0,0,0,16
"WBGene00034717__Cni-flp-18",437,678,436,313,294,378,256,402,216,572,726,466
"WBGene00034718__Cni-aqp-7",1625,1984,1098,300,452,414,928,1471,848,424,416,408
"WBGene00034719__Cni-clec-265",0,32,42,46,92,44,72,78,56,104,204,102
"WBGene00089041__Cnig_chr_X.g23788",10,12,12,0,0,0,8,16,0,0,0,0
"WBGene00034721__Cni-cnnm-3",372,398,320,28,50,26,195,240,108,42,0,0
"WBGene00034722__Cnig_chr_X.g23790",36,4,6,16,54,42,18,66,22,72,48,18
"WBGene00034723__Cni-rsef-1",126,44,114,52,42,44,6,2,26,82,136,0
"WBGene00034724__Cni-ceh-30",0,0,0,0,8,12,0,16,0,0,0,0
"WBGene00034725__Cni-ceh-31",0,14,0,0,0,0,0,24,0,2,50,0
"WBGene00089042__Cnig_chr_X.g23794",0,18,18,0,0,0,14,18,14,0,0,0
"WBGene00034726__Cni-twk-16",0,0,8,0,8,0,0,16,0,0,0,3
"WBGene00034727__Cni-F52E4.5",1010,1000,762,148,263,227,762,569,405,374,481,312
"WBGene00034728__Cni-pccb-1",2011,2234,1888,1588,1543,1080,1995,2122,1726,2004,2330,1614
"WBGene00034729__Cni-wrt-2",0,18,8,0,0,0,12,0,8,0,0,0
"WBGene00034730__Cni-sec-3",174,40,74,42,10,24,78,80,84,82,66,69
"WBGene00034731__Cni-ztf-13",88,92,44,57,26,74,172,234,106,96,248,118
"WBGene00034732__Cni-K10B3.5",82,28,100,0,0,6,76,106,56,36,108,0
"WBGene00034733__Cni-gpcp-1",102,122,56,32,38,80,158,308,158,98,220,84
"WBGene00000333__Cnig_chr_X.g23806",4578,5990,3715,2951,3036,2191,2938,2852,2703,4994,6859,5311
"WBGene00000332__Cnig_chr_X.g23807",2323,2911,2184,565,536,425,1641,2243,1699,969,1324,894
"WBGene00000343__Cni-mai-1",30,18,92,24,42,46,57,218,80,36,57,46
"WBGene00034737__Cni-spc-1",2105,1458,1672,494,400,300,1976,2216,2100,1952,2845,1367
"WBGene00034738__Cnig_chr_X.g23810",50,55,30,0,68,58,18,24,26,4,72,66
"WBGene00034739__Cni-C15C7.4",130,40,36,18,6,16,30,50,24,0,8,34
"WBGene00034740__Cni-C15C7.5",176,262,162,180,248,240,518,419,376,298,554,318
"WBGene00034741__Cni-gcc-1",68,94,44,30,2,2,68,118,74,53,52,10
"WBGene00034742__Cni-syx-6",156,256,122,54,36,76,168,193,198,18,12,34
"WBGene00034742__Cni-C15C7.7",156,256,122,54,36,76,168,193,198,18,12,34
"WBGene00034743__Cni-C15C7.6",8,0,8,0,0,0,2,12,10,0,0,0
"WBGene00089047__Cnig_chr_X.g23817",0,6,0,0,0,0,0,0,6,0,0,0
"WBGene00034744__Cni-klp-4",593,398,578,78,98,82,348,664,361,361,600,216
"WBGene00034745__Cni-fax-1",0,0,0,0,0,0,2,0,0,8,0,0
"WBGene00034746__Cni-F28B4.4",0,0,12,0,0,0,0,0,0,0,0,0
"WBGene00034747__Cni-rgl-1",200,166,294,62,66,10,280,342,216,324,100,84
"WBGene00271603__Cnig_chr_X.g23825",3448,2972,2970,1219,779,652,1508,1995,1554,1593,3247,1488
"WBGene00034748__Cnig_chr_X.g23826",5031,3978,4008,491,318,315,4072,4979,4091,1104,3139,1056
"WBGene00034749__Cni-F40F4.7",36,154,86,50,46,54,80,96,80,20,24,46
"WBGene00034750__Cni-pqn-37",0,30,0,10,16,30,48,66,82,48,38,12
"WBGene00034751__Cnig_chr_X.g23829",48,88,22,52,50,14,8,16,2,34,32,0
"WBGene00034752__Cnig_chr_X.g23830",118,234,136,182,230,184,104,136,110,106,296,44
"WBGene00089050__Cnig_chr_X.g23831",1371,1160,1528,104,224,158,1188,1292,934,286,802,303
"WBGene00089051__Cnig_chr_X.g23836",0,0,0,0,0,0,0,0,6,0,0,0
"WBGene00034755__Cni-sul-1",62,40,0,26,8,0,24,18,18,58,0,8
"WBGene00089052__Cnig_chr_X.g23838",6,26,18,0,20,14,0,0,2,0,0,0
"WBGene00034759__Cni-K09C4.10",300,140,108,172,106,90,90,233,186,128,270,146
"WBGene00034760__Cnig_chr_X.g23845",0,16,14,138,55,64,48,160,30,68,100,40
"WBGene00034762__Cnig_chr_X.g23846",4,18,4,6,4,0,68,36,56,0,0,0
"WBGene00034763__Cni-ddr-2",130,124,136,36,42,14,126,154,106,278,284,126
"WBGene00034765__Cni-F11D5.1",122,118,82,40,22,78,150,186,146,116,280,46
"WBGene00270768__Cni-ZK816.3",6,0,0,0,0,0,0,0,13,0,0,0
"WBGene00034767__Cni-ZK816.4",4,8,0,0,0,0,2,0,2,0,0,0
"WBGene00034768__Cni-ZK816.1",34,10,0,0,0,14,14,24,16,0,0,0
"WBGene00034769__Cni-dhs-26",4,16,0,4,0,0,12,138,24,0,0,6
"WBGene00034770__Cni-ZK563.2",72,42,12,0,6,16,44,14,38,48,8,32
"WBGene00034771__Cni-clc-3",8,34,56,4,10,16,14,66,28,32,104,10
"WBGene00034772__Cni-sorf-1",46,120,22,24,18,36,24,8,30,32,72,12
"WBGene00034772__Cni-ZK563.7",46,120,22,24,18,36,24,8,30,32,72,12
"WBGene00034774__Cni-acp-1",60,150,123,22,24,10,34,70,66,60,88,72
"WBGene00034775__Cni-slcf-2",66,2,52,16,10,0,18,84,28,58,0,10
"WBGene00034776__Cni-cht-1",42,2,44,0,6,24,296,114,228,220,386,194
"WBGene00034777__Cnig_chr_X.g23862",4381,4375,1820,10,2,2,0,0,0,16,0,0
"WBGene00034777__Cnig_chr_X.g23863",4381,4375,1820,10,2,2,0,0,0,16,0,0
"WBGene00034779__Cni-dhs-27",2,14,14,0,0,20,0,0,30,0,26,2
"WBGene00270762__Cni-C04F6.7",0,6,18,54,10,6,40,18,14,16,0,40
"WBGene00034780__Cni-ZK813.6",50,40,6,0,0,0,26,36,14,0,0,0
"WBGene00034780__Cni-ZK813.4",50,40,6,0,0,0,26,36,14,0,0,0
"WBGene00034782__Cni-ZK813.3",8,8,40,0,0,0,0,0,0,0,0,0
"WBGene00034784__Cnig_chr_X.g23869",0,0,0,0,0,0,0,4,0,0,0,0
"WBGene00034785__Cni-ZK813.1",18,18,16,0,0,0,0,0,0,0,0,0
"WBGene00271349__Cnig_chr_X.g23871",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00089056__Cnig_chr_X.g23873",12,0,0,0,0,0,0,0,0,0,0,0
"WBGene00089057__Cnig_chr_X.g23874",0,2,14,0,0,0,0,0,0,0,0,0
"WBGene00034787__Cnig_chr_X.g23875",22,62,16,0,0,0,0,20,2,0,0,0
"WBGene00034788__Cnig_chr_X.g23880",90,10,0,0,0,0,8,6,10,0,0,0
"WBGene00034789__Cnig_chr_X.g23877",24,28,10,0,0,0,24,18,14,0,0,0
"WBGene00089058__Cnig_chr_X.g23883",0,10,35,0,0,0,16,0,18,0,0,0
"WBGene00034790__Cni-sax-3",280,210,226,92,36,64,198,210,198,256,220,200
"WBGene00034791__Cni-wrt-6",4,12,0,10,16,6,14,26,20,4,60,2
"WBGene00034792__Cni-C12D12.3",18,0,0,0,0,0,0,0,10,28,0,0
"WBGene00034793__Cni-glt-1",642,696,330,272,440,342,696,532,590,678,1302,504
"WBGene00034794__Cni-C12D12.1",949,578,680,140,118,100,636,771,560,430,636,322
"WBGene00034795__Cni-sox-4",18,16,10,30,4,4,18,38,48,58,90,8
"WBGene00034796__Cni-npr-16",0,6,44,12,2,20,48,42,112,34,276,4
"WBGene00034797__Cni-F56B6.6",0,0,0,6,22,0,0,18,0,6,0,32
"WBGene00034798__Cni-gyg-1",367,564,234,401,344,348,552,910,496,670,678,576
"WBGene00034799__Cnig_chr_X.g23896",62,82,57,48,56,38,62,104,114,108,106,76
"WBGene00034800__Cnig_chr_X.g23900",3351,3849,1511,10,22,0,0,2,0,0,0,0
"WBGene00089059__Cni-T27A10.5",4,6,14,0,0,0,0,0,0,0,0,0
"WBGene00034801__Cni-ckc-1",865,1150,591,210,274,186,348,270,326,362,340,150
"WBGene00034802__Cni-T27A10.2",0,10,0,0,0,0,0,14,6,18,72,0
"WBGene00034803__Cni-T27A10.6",14,26,14,59,52,18,36,16,8,74,72,26
"WBGene00034804__Cni-cgr-1",126,146,74,80,100,130,80,192,126,176,146,136
"WBGene00034805__Cni-C18B2.3",153,294,170,258,302,224,520,451,370,662,1040,488
"WBGene00034806__Cni-C18B2.4",473,544,545,90,115,34,412,405,281,309,400,262
"WBGene00034807__Cni-C18B2.5",356,386,324,444,308,250,544,692,718,556,808,398
"WBGene00034808__Cni-del-9",38,40,6,0,8,6,56,68,81,10,106,38
"WBGene00034809__Cni-C18B2.2",2,0,0,0,0,0,0,18,0,0,0,0
"WBGene00034810__Cni-C18B2.1",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00034811__Cni-gst-11",42,76,34,12,48,18,26,36,52,24,0,30
"WBGene00034812__Cni-R11G1.6",140,218,120,30,56,60,254,224,254,170,96,62
"WBGene00034813__Cni-sax-1",228,372,174,32,80,106,214,333,308,150,270,154
"WBGene00034814__Cnig_chr_X.g23916",0,10,0,0,0,0,12,16,38,4,0,0
"WBGene00034815__Cnig_chr_X.g23917",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00034816__Cni-R11G1.1",0,0,0,0,0,0,4,8,0,18,0,0
"WBGene00034817__Cni-snet-1",276,396,236,184,204,310,144,390,200,410,768,346
"WBGene00034818__Cni-C02F12.5",36,8,42,0,0,0,14,14,6,0,0,0
"WBGene00034819__Cni-ceh-63",0,0,0,0,0,0,2,0,0,0,0,0
"WBGene00034820__Cni-tag-52",90,36,56,22,22,2,24,230,106,34,42,86
"WBGene00034821__Cnig_chr_X.g23936",0,0,0,0,0,0,0,0,0,0,0,0
"WBGene00034824__Cni-tsp-17",24,36,0,18,20,8,22,60,0,52,56,52
"WBGene00034825__Cni-tag-278",168,198,200,46,24,30,290,516,329,200,544,170
"WBGene00034828__Cni-C01C4.3",274,238,226,38,60,36,338,512,338,218,138,144
"WBGene00034829__Cni-C01C4.2",0,8,16,0,0,0,28,26,12,0,0,0
"WBGene00034830__Cni-nlp-1",142,296,134,34,32,28,176,172,160,108,122,144
"WBGene00034831__Cni-aex-4",36,26,22,0,12,16,28,32,44,22,36,26
